Country_From,Country_to,Distance,Gravity,Flow(log),Flow(Fij + Fji),Offset,Offset (abs),GDP A,GDP B,GDP Diff,GDP Diff(abs),Latitude_from,Longitude_from,Latitude_to,Longitude_to,pop_from,pop_to
AL,ZM,6302,1201517.519,0,1,1.129572155,1.129572155,4146.89625,1178.387905,2968.508345,2968.508345,41.153332,20.168331,-13.133897,27.849332,2876101,16591390
AL,PE,11443,697901.333,1.098612289,3,1.88152123,1.88152123,4146.89625,6045.650077,-1898.753827,1898.753827,41.153332,20.168331,-9.189967,-75.015152,2876101,31773839
AL,GT,10556,428010.6387,0,1,2.161764738,2.161764738,4146.89625,4146.744129,0.152121,0.152121,41.153332,20.168331,15.783471,-90.230759,2876101,16582469
AL,EC,10696,411916.8832,1.386294361,4,2.463423836,2.463423836,4146.89625,5968.984138,-1822.087888,1822.087888,41.153332,20.168331,-1.831239,-78.183406,2876101,16385068
AM,UA,1561,54019440.79,0,1,-2.676186485,2.676186485,3606.152057,2185.728031,1420.424026,1420.424026,40.069099,45.038189,48.379433,31.16558,2924816,45004645
AM,NG,5570,17533834.92,0,1,-1.550974926,1.550974926,3606.152057,2177.98517,1428.166887,1428.166887,40.069099,45.038189,9.081999,8.675277,2924816,185989640
AM,LB,1112,14207661.57,0.693147181,2,-1.208957538,1.208957538,3606.152057,7914.004677,-4307.85262,4307.85262,40.069099,45.038189,33.854721,35.862285,2924816,6006668
AM,PH,7862,4888974.832,1.386294361,4,-0.010492489,0.010492489,3606.152057,2951.071929,655.080128,655.080128,40.069099,45.038189,12.879721,121.774017,2924816,103320222
AM,GH,5886,2381281.538,0,1,0.445518707,0.445518707,3606.152057,1513.461034,2092.691023,2092.691023,40.069099,45.038189,7.946527,-1.023194,2924816,28206728
AM,KH,6701,1026693.545,0,1,1.286814023,1.286814023,3606.152057,1269.907238,2336.244819,2336.244819,40.069099,45.038189,12.565679,104.990963,2924816,15762370
AM,SV,12344,121786.5482,0,1,3.418642883,3.418642883,3606.152057,4223.584579,-617.432522,617.432522,40.069099,45.038189,13.794185,-88.89653,2924816,6344722
AO,IN,7964,601557497.1,0.693147181,2,-4.954698291,4.954698291,3110.808183,1709.387921,1401.420262,1401.420262,-11.202692,17.873887,20.593684,78.96288,28813463,1324171354
AO,CM,1255,428795863.6,0,1,-4.747823452,4.747823452,3110.808183,1032.648722,2078.159461,2078.159461,-11.202692,17.873887,7.369722,12.354722,28813463,23439189
AO,UG,2323,221523177,0,1,-4.087369709,4.087369709,3110.808183,615.3088032,2495.49938,2495.49938,-11.202692,17.873887,1.373333,32.290275,28813463,41487965
AO,GH,2051,193204326.6,0,1,-3.950590804,3.950590804,3110.808183,1513.461034,1597.347149,1597.347149,-11.202692,17.873887,7.946527,-1.023194,28813463,28206728
AO,KE,2734,186808180.5,1.609437912,5,-3.611205084,3.611205084,3110.808183,1455.359765,1655.448418,1655.448418,-11.202692,17.873887,-0.023559,37.906193,28813463,48461567
AO,MX,12632,23030272.51,0,1,-1.823652035,1.823652035,3110.808183,8201.306253,-5090.49807,5090.49807,-11.202692,17.873887,23.634501,-102.552784,28813463,127540423
AO,PE,9833,9468759.158,0.693147181,2,-0.803174041,0.803174041,3110.808183,6045.650077,-2934.841894,2934.841894,-11.202692,17.873887,-9.189967,-75.015152,28813463,31773839
AR,CL,1131,613915437.4,1.945910149,7,-4.737065599,4.737065599,12449.21685,13792.92605,-1343.7092,1343.7092,-38.416097,-63.616672,-35.675147,-71.542969,43847430,17909754
AR,US,8318,204776563,0,1,-4.008761936,4.008761936,12449.21685,57466.78711,-45017.57026,45017.57026,-38.416097,-63.616672,37.09024,-95.712891,43847430,323127513
AR,PY,1003,293126077.2,2.397895273,11,-3.911954681,3.911954681,12449.21685,4080.204644,8369.012206,8369.012206,-38.416097,-63.616672,-23.442503,-58.443832,43847430,6725308
AR,PE,3081,146767682.8,2.944438979,19,-3.116384463,3.116384463,12449.21685,6045.650077,6403.566773,6403.566773,-38.416097,-63.616672,-9.189967,-75.015152,43847430,31773839
AR,NG,7860,132004216.9,2.564949357,13,-3.082453086,3.082453086,12449.21685,2177.98517,10271.23168,10271.23168,-38.416097,-63.616672,9.081999,8.675277,43847430,185989640
AR,MX,7341,103772325.3,1.609437912,5,-3.023322086,3.023322086,12449.21685,8201.306253,4247.910597,4247.910597,-38.416097,-63.616672,23.634501,-102.552784,43847430,127540423
AR,BO,2213,97482065.13,2.079441542,8,-2.87151195,2.87151195,12449.21685,3104.956089,9344.260761,9344.260761,-38.416097,-63.616672,-16.290154,-63.588653,43847430,10887882
AR,CO,4604,100643765.7,2.63905733,14,-2.797129297,2.797129297,12449.21685,5805.605335,6643.611515,6643.611515,-38.416097,-63.616672,4.570868,-74.297333,43847430,48653419
AR,ID,15291,48967163.35,1.098612289,3,-2.36930625,2.36930625,12449.21685,3570.294888,8878.921962,8878.921962,-38.416097,-63.616672,-0.789275,113.921327,43847430,261115456
AR,EG,11793,30168666.53,0,1,-2.093646342,2.093646342,12449.21685,3514.490097,8934.726753,8934.726753,-38.416097,-63.616672,26.820553,30.802498,43847430,95688681
AR,EC,4321,38479007.26,1.791759469,6,-1.996602822,1.996602822,12449.21685,5968.984138,6480.232712,6480.232712,-38.416097,-63.616672,-1.831239,-78.183406,43847430,16385068
AR,PK,15554,35016673.75,2.564949357,13,-1.755443559,1.755443559,12449.21685,1468.192946,10981.0239,10981.0239,-38.416097,-63.616672,30.375321,69.345116,43847430,193203476
AR,GH,7519,21876441.75,0.693147181,2,-1.640586509,1.640586509,12449.21685,1513.461034,10935.75582,10935.75582,-38.416097,-63.616672,7.946527,-1.023194,43847430,28206728
AR,TZ,10339,22795266.33,1.098612289,3,-1.60470921,1.60470921,12449.21685,879.193814,11570.02304,11570.02304,-38.416097,-63.616672,-6.369028,34.888822,43847430,55572201
AR,GT,6383,17846113.41,1.098612289,3,-1.359942061,1.359942061,12449.21685,4146.744129,8302.472721,8302.472721,-38.416097,-63.616672,15.783471,-90.230759,43847430,16582469
AR,ML,7392,14440031.62,0,1,-1.356846811,1.356846811,12449.21685,780.5071109,11668.70974,11668.70974,-38.416097,-63.616672,17.570692,-3.996166,43847430,17994837
AR,SN,6881,14272141.76,0.693147181,2,-1.21348568,1.21348568,12449.21685,958.0737379,11491.14311,11491.14311,-38.416097,-63.616672,14.497401,-14.452362,43847430,15411614
