country_from,country_to,distance,gravity,flow,offset,GDPDiff,GDPDiffabs,offsetabs
MY,KE,7132.7835,17.2069,4.6052,-1.1024,8047.2086,8047.2086,1.1024
MY,MZ,7701.7443,16.534,1.3863,-1.1022,9120.4991,9120.4991,1.1022
JP,LR,14199.3919,14.8823,4.0254,1.101,38439.097,38439.097,1.101
AF,RW,5616.4986,16.3876,0.69315,-1.1007,-141.0569,141.0569,1.1007
RO,HN,10353.9057,14.3314,1.3863,1.1004,7112.973,7112.973,1.1004
KW,ID,7785.3838,16.6753,2.0794,-1.0987,25405.1051,25405.1051,1.0987
CL,TG,9010.3739,14.3331,1.3863,1.0987,13214.4644,13214.4644,1.0987
TH,MN,3456.2855,16.675,2.0794,-1.0983,2221.4617,2221.4617,1.0983
HU,GT,10144.323,14.2742,1.0986,1.0974,8518.1033,8518.1033,1.0974
GR,EC,10998.9488,14.1909,0.69315,1.096,12134.9852,12134.9852,1.096
ES,MZ,7727.7272,16.9255,3.2958,-1.0947,26146.4225,26146.4225,1.0947
ID,CG,10907.0723,16.2359,0,-1.0939,2042.0501,2042.0501,1.0939
MN,AZ,4500.6586,14.1933,0.69315,1.0936,-190.4847,190.4847,1.0936
PL,NI,9840.4922,14.6952,3.091,1.0929,10221.035,10221.035,1.0929
CZ,IL,2638.0263,16.3783,0.69315,-1.0914,-19026.0625,19026.0625,1.0914
CA,ZM,13848.4571,14.9595,4.3438,1.0904,40979.5401,40979.5401,1.0904
ES,SV,8612.3796,15.195,5.4681,1.0899,22304.9072,22304.9072,1.0899
SI,PK,4950.3649,16.6054,1.7918,-1.0889,19836.3772,19836.3772,1.0889
AT,TJ,4592.548,15.1027,5.0173,1.0879,43380.6714,43380.6714,1.0879
SI,SN,4462.2688,14.2844,1.0986,1.0873,20346.4964,20346.4964,1.0873
MW,PH,10066.5518,16.7304,2.3979,-1.0871,-2650.2771,2650.2771,1.0871
RU,TG,9919.8877,16.2276,0,-1.0856,8169.9028,8169.9028,1.0856
DE,CO,9245.7646,17.6667,6.8876,-1.0852,36130.4532,36130.4532,1.0852
ES,NI,8366.968,15.2216,5.5645,1.0834,24377.1097,24377.1097,1.0834
BE,MD,1770.4074,16.3697,0.69315,-1.0827,39195.9558,39195.9558,1.0827
ES,ZM,6791.6617,16.6312,1.9459,-1.0825,25350.1039,25350.1039,1.0825
ZA,SV,12855.3058,14.5793,2.4849,1.082,1050.0093,1050.0093,1.082
PH,BF,13170.3033,16.2231,0,-1.081,2301.3414,2301.3414,1.081
ER,RW,2193.6726,16.2209,0,-1.0788,120.1644,120.1644,1.0788
IL,NP,4728.4084,16.2206,0,-1.0786,36563.0797,36563.0797,1.0786
TZ,SL,5430.1389,16.4502,1.0986,-1.0786,383.1444,383.1444,1.0786
AU,MM,6646.8453,17.1787,4.6052,-1.0742,48652.8019,48652.8019,1.0742
AL,ZM,6087.9383,14.0682,0,1.0738,2968.5083,2968.5083,1.0738
NZ,MM,10707.9511,14.5877,2.4849,1.0737,38151.6059,38151.6059,1.0737
NI,NG,10198.9355,16.2131,0,-1.071,-26.6031,26.6031,1.071
AR,UA,13401.6312,16.2122,0,-1.0702,10263.4888,10263.4888,1.0702
CA,MW,14185.9749,14.9979,4.4308,1.0702,41857.1332,41857.1332,1.0702
