country_from,country_to,distance,gravity,flow,offset,GDPDiff,GDPDiffabs
AE,ML,6021.8103,15.3416,3.1355,0.4558,36841.7003,36841.7003
KZ,TG,7528.6144,14.6861,0,0.45594,6931.6155,6931.6155
SI,AZ,2705.6922,14.8284,0.69315,0.45854,17427.6337,17427.6337
PT,AZ,4688.4493,15.3384,3.1355,0.459,15936.3718,15936.3718
ZA,HN,12673.2066,14.9699,1.3863,0.46184,2912.4363,2912.4363
IL,KG,3722.1364,15.138,2.1972,0.46331,36215.5761,36215.5761
NL,GE,3032.8834,15.7443,5.0999,0.4636,41441.1301,41441.1301
CA,BF,9771.6491,15.7736,5.247,0.46503,41508.1975,41508.1975
LA,MZ,8463.7474,14.8161,0.69315,0.47081,1971.0835,1971.0835
IL,CG,4015.1043,14.8153,0.69315,0.47165,35764.3674,35764.3674
MZ,GT,14266.7741,14.6694,0,0.47266,-3764.6748,3764.6748
NL,BJ,4769.5652,15.9115,5.948,0.47367,44505.3396,44505.3396
TW,ZW,11019.8843,14.9568,1.3863,0.47503,21589.4027,21589.4027
CZ,AM,2544.9907,15.3777,3.4012,0.47518,14660.3976,14660.3976
HU,TJ,4228.7055,15.3833,3.434,0.47648,11869.0036,11869.0036
ES,BO,8822.9118,15.6867,4.8903,0.47742,23423.5357,23423.5357
SG,UA,8623.0502,15.0375,1.7918,0.47906,50774.9862,50774.9862
MT,PK,5087.7063,14.9977,1.6094,0.48076,23589.9777,23589.9777
AT,BI,5854.1835,14.8036,0.69315,0.4833,43890.7878,43890.7878
KW,GH,5584.0431,15.1146,2.1972,0.48666,27461.939,27461.939
SK,MZ,7650.2633,14.7991,0.69315,0.48778,16113.9183,16113.9183
SK,AM,2215.6776,14.9893,1.6094,0.48909,12889.8356,12889.8356
MU,ZW,2973.2321,14.652,0,0.49003,8618.9985,8618.9985
DK,AZ,3280.498,15.464,3.8918,0.49148,49540.7279,49540.7279
AR,IL,12764.1835,14.6485,0,0.49351,-24843.3954,24843.3954
FI,TZ,7634.5287,15.4717,3.9512,0.49616,42211.0537,42211.0537
NL,MZ,8399.246,15.7549,5.3083,0.49655,44912.7107,44912.7107
LV,KE,6438.2236,14.6449,0,0.49711,12662.7041,12662.7041
RS,KG,4332.0663,14.6429,0,0.4991,4271.2579,4271.2579
TH,AM,6001.7735,15.5368,4.2767,0.49911,2301.7614,2301.7614
IE,IL,4235.8797,14.6369,0,0.50513,24313.8707,24313.8707
IT,PA,9650.1272,14.7807,0.69315,0.50625,16847.0322,16847.0322
SI,GH,4515.5463,14.8651,1.0986,0.50658,19791.1091,19791.1091
LA,MN,3005.4631,14.6331,0,0.50892,-1333.2988,1333.2988
FR,PA,8785.5686,15.0672,2.0794,0.50943,23174.7323,23174.7323
KR,HT,13557.9295,14.9221,1.3863,0.50966,26799.2107,26799.2107
DK,ML,4449.429,15.466,3.989,0.50979,52637.1572,52637.1572
